uid_,uid,manufacturerName,modelName,fixtureName,whCode,serialNumber,fwVersion,errors (not read),errors (total),lamp lifetime (hrs),led engine (w/hrs),fixture lifetime (hrs)
435018B00052,435018B00052,Clay Paky,Tambora Batten Round,S/N BZ102783,1.cp_tam_015,,V1.2,0,0,0,-,0
435018B00026,435018B00026,Clay Paky,Tambora Batten Round,S/N BZ102754,1.cp_tam_055,,V1.2,0,0,0,-,0
435018B0002E,435018B0002E,Clay Paky,Tambora Batten Round,S/N BZ102752,1.cp_tam_049,,V1.1,0,0,0,-,0
435018B00035,435018B00035,Clay Paky,Tambora Batten Round,S/N BZ102740,1.cp_tam_057,,V1.2,0,0,0,-,0
435018B00038,435018B00038,Clay Paky,Tambora Batten Round,S/N BZ102705,1.cp_tam_004,,V1.2,0,0,0,-,0
435018B00047,435018B00047,Clay Paky,Tambora Batten Round,S/N BZ102719,1.cp_tam_022,,V1.3,0,0,10,-,14
435018B00065,435018B00065,Clay Paky,Tambora Batten Round,S/N BZ102798,1.cp_tam_047,,V1.1,0,0,0,-,0
435018B0047B,435018B0047B,Clay Paky,Tambora Batten Round,S/N BA105217,1.cp_tam_096,,V1.3,0,0,173,-,281
435018B0003A,435018B0003A,Clay Paky,Tambora Batten Round,S/N BZ102703,1.cp_tam_003,,V1.2,0,0,0,-,0
435018B00046,435018B00046,Clay Paky,Tambora Batten Round,S/N BZ102772,1.cp_tam_031,,V1.3,0,0,186,-,389
435018B000B8,435018B000B8,Clay Paky,Tambora Batten Round,S/N BA105387,1.cp_tam_090,,V1.3,0,0,0,-,0
435018B00011,435018B00011,Clay Paky,Tambora Batten Round,S/N BZ102710,1.cp_tam_109,,V1.2,0,0,0,-,0
435018B00155,435018B00155,Clay Paky,Tambora Batten Round,S/N BA101885,1.cp_tam_080,,V1.3,0,0,61,-,307
435018B0003C,435018B0003C,Clay Paky,Tambora Batten Round,S/N BZ102707,1.cp_tam_028,,V1.2,0,0,0,-,0
435018B00014,435018B00014,Clay Paky,Tambora Batten Round,S/N BZ102786,1.cp_tam_016,,V1.2,0,0,0,-,0
435018B00066,435018B00066,Clay Paky,Tambora Batten Round,S/N BZ102758,1.cp_tam_043,,V1.3,0,0,351,-,1265
435018B0004A,435018B0004A,Clay Paky,Tambora Batten Round,S/N BZ102789,1.cp_tam_009,,V1.2,0,0,0,-,0
435018B0002C,435018B0002C,Clay Paky,Tambora Batten Round,S/N BZ102785,1.cp_tam_012,,V1.3,0,0,192,-,885
435018B00049,435018B00049,Clay Paky,Tambora Batten Round,S/N BZ102743,1.cp_tam_062,,V1.2,0,0,0,-,0
435018B0005F,435018B0005F,Clay Paky,Tambora Batten Round,S/N BZ102737,1.cp_tam_058,,V1.3,0,0,139,-,744
435018B00067,435018B00067,Clay Paky,Tambora Batten Round,S/N BZ102726,1.cp_tam_026,,V1.2,0,0,0,-,0
435018B00044,435018B00044,Clay Paky,Tambora Batten Round,S/N BZ102766,1.cp_tam_042,,V1.2,0,0,0,-,0
435018B00027,435018B00027,Clay Paky,Tambora Batten Round,S/N BZ102746,1.cp_tam_056,,V1.2,0,0,0,-,0
435018B00056,435018B00056,Clay Paky,Tambora Batten Round,S/N BZ102760,1.cp_tam_061,,V1.2,0,0,0,-,0
435018B00018,435018B00018,Clay Paky,Tambora Batten Round,S/N BZ102749,1.cp_tam_059,,V1.3,0,0,362,-,1292
435018B00446,435018B00446,Clay Paky,Tambora Batten Round,S/N BA105219,1.cp_tam_093,,V1.3,0,0,180,-,318
435018B00064,435018B00064,Clay Paky,Tambora Batten Round,S/N BZ102774,1.cp_tam_101,,V1.2,0,0,0,-,0
435018B00086,435018B00086,Clay Paky,Tambora Batten Round,S/N BA105378,1.cp_tam_089,,V1.3,0,0,5,-,34
435018B0001D,435018B0001D,Clay Paky,Tambora Batten Round,S/N BZ102733,1.cp_tam_106,,V1.2,0,0,0,-,0
435018B0002A,435018B0002A,Clay Paky,Tambora Batten Round,S/N BZ102788,1.cp_tam_007,,V1.2,0,0,0,-,0
435018B00034,435018B00034,Clay Paky,Tambora Batten Round,S/N BZ102701,1.cp_tam_045,,V1.2,0,0,0,-,0
435018B00055,435018B00055,Clay Paky,Tambora Batten Round,S/N BZ102790,1.cp_tam_020,,V1.2,0,0,0,-,0
435018B00042,435018B00042,Clay Paky,Tambora Batten Round,S/N BZ102730,1.cp_tam_006,,V1.2,0,0,0,-,0
435018B00054,435018B00054,Clay Paky,Tambora Batten Round,S/N BZ102796,1.cp_tam_103,,V1.2,0,0,0,-,0
435018B00022,435018B00022,Clay Paky,Tambora Batten Round,S/N BZ102735,1.cp_tam_046,,V1.2,0,0,0,-,0
435018B00031,435018B00031,Clay Paky,Tambora Batten Round,S/N BZ102738,1.cp_tam_026,,V1.2,0,0,0,-,0
435018B00040,435018B00040,Clay Paky,Tambora Batten Round,S/N BZ102728,1.cp_tam_021,,V1.2,0,0,0,-,0
435018B00020,435018B00020,Clay Paky,Tambora Batten Round,S/N BZ102745,1.cp_tam_048,,V1.2,0,0,0,-,0
43500EB00472,43500EB00472,Clay Paky,Tambora Batten Square,,,,V1.2,0,0,0,-,227
43500EB00457,43500EB00457,Clay Paky,Tambora Batten Square,,,,V1.2,0,0,0,-,14
43500EB00047,43500EB00047,Clay Paky,Tambora Batten Square,,,,V1.2,0,0,0,-,14
43500EB000BB,43500EB000BB,Clay Paky,Tambora Batten Square,,,,V1.2,0,0,0,-,0
43500EB00445,43500EB00445,Clay Paky,Tambora Batten Square,,,,V1.2,0,0,0,-,227
